"Обнаружение лесного пожара, дата","Обнаружение лесного пожара, время","Географические координаты места обнаружения пожара, наименование","Географические координаты места обнаружения пожара, азимут, гра-дусы","Широта (градусы, минуты, секунды)","Долгота (градусы, минуты, секунды)","Скорость ветра в районе пожара, в момент обнару-жения, м/с","Площадь пожара, га (в момент обна­ ружения)","Площадь пожара, га (всего)","Площадь пожара, га (лесная)","Площадь пожара, га (покрытая лесной раститель- ностью)",Причина
23.05.2017,14:45:00,д Сидоровка,157,55.67027777777778,74.60583333333334,10.0,3,19.4,19.4,19.4,с иных категорий
21.06.2017,18:30:00,д Соснино,81,55.446666666666665,74.49527777777777,3.0,1.2,24.8,24.8,23.1,с иных категорий
21.06.2017,16:00:00,с Астыровка,92,55.35916666666667,74.5111111111111,3.0,2.5,3,3,3,мн
21.06.2017,19:00:00,д Ачаирка,83,55.56444444444445,74.86055555555555,3.0,1,1.3,1.3,1.3,с иных категорий
03.06.2017,14:20:00,д Измайловка,252,55.250277777777775,74.82805555555555,3.0,3,10.9,10.9,10.9,с иных категорий
04.06.2017,19:00:00,с Новотроицк,175,55.73888888888889,75.08416666666666,6.0,1.5,5.5,5.5,5.5,с иных категорий
27.08.2017,16:00:00,п Ударный,38,55.220555555555556,74.285,2.0,1,1.6,1.6,1.6,с иных категорий
04.05.2017,13:30:00,д Новопокровка,44,56.04694444444444,71.30305555555556,15.0,10,24,24,24,с иных категорий
04.05.2017,11:20:00,д Колодцы,187,55.98111111111111,70.93805555555555,14.0,14,21,21,21,с иных категорий
19.05.2017,18:00:00,с Яман,322,56.086666666666666,71.33416666666666,12.0,8.5,22.7,22.7,22.7,с иных категорий
30.08.2017,00:22:00,д Верхний Яман,323,56.03611111111111,71.15611111111112,8.0,20,140.3,140.3,140.3,с иных категорий
03.09.2017,14:00:00,с Рыжково,53,56.036944444444444,71.09305555555555,5.0,3,10.5,10.5,0,с иных категорий
01.05.2017,17:00:00,п Алексеевский,245,55.56666666666667,71.56666666666666,6.0,5.5,10,6.5,6.5,с иных категорий
04.05.2017,14:30:00,д Борятино,202,55.24,72.16694444444444,4.0,7,23.3,23.3,23.3,мн
05.05.2017,10:00:00,рп Красный Яр,276,55.24194444444444,72.86805555555556,2.0,2,4,4,4,мн
05.05.2017,12:30:00,д Шереметьевка,321,55.45027777777778,72.87611111111111,2.0,3,12.8,12.2,2.1,мн
19.04.2017,16:30:00,д Дубровка,65,54.53,72.42111111111112,4.0,0.8,1.5,1.5,1.5,с иных категорий
12.05.2017,13:00:00,д Калиновка,,55.37888888888889,72.73472222222222,,0.3,0.6,0.5,0.5,с иных категорий
14.05.2017,13:30:00,п Политотдел,,55.35,73.25,5.0,0.5,1,1,1,с иных категорий
14.05.2017,16:00:00,д Калиновка,,55.37166666666667,72.55416666666666,5.0,5,15.3,15.3,15.3,с иных категорий
21.05.2017,16:00:00,д Калиновка,273,55.36694444444444,72.74638888888889,5.0,2.5,7,7,7,мн
23.05.2017,13:00:00,д Северное,217,54.67888888888889,72.62555555555555,3.0,6,16,16,16,с иных категорий
04.05.2017,17:30:00,д Окунево,120,56.43055555555556,74.92944444444444,12.0,1,1.5,1.5,1.5,мн
17.05.2017,13:45:00,с Низовое,44,56.443888888888885,74.96888888888888,5.0,10,19.8,19.8,19.8,с иных категорий
